Time,Tdf_F,Tdfatm_F,H2O_ppm
2026-08-06 16:10:48,16.71,-6.19,907.0
2026-08-06 16:10:50,16.71,-6.19,907.0
2026-08-06 16:10:52,16.71,-6.19,907.0
2026-08-06 16:10:54,16.71,-6.19,907.0
2026-08-06 16:10:56,16.71,-6.19,907.0
2026-08-06 16:10:58,16.71,-6.19,907.0
2026-08-06 16:11:00,16.71,-6.19,907.0
2026-08-06 16:11:03,16.71,-6.19,907.0
2026-08-06 16:11:05,16.71,-6.19,907.0
2026-08-06 16:11:07,16.71,-6.19,907.0
2026-08-06 16:11:09,16.71,-6.19,907.0
2026-08-06 16:11:11,16.71,-6.19,907.0
2026-08-06 16:11:13,16.71,-6.19,907.0
2026-08-06 16:11:15,16.71,-6.19,907.0
