Time,abs_pressure_PSI,temperature_C,volumetric_flow_LPM,mass_flow_SLPM,gas_type
2026-09-14 15:47:56,+014.68,+024.99,+00.002,+00.002,Air
2026-09-14 15:47:58,+014.68,+025.00,+00.000,+00.000,Air
2026-09-14 15:48:00,+014.68,+024.99,+00.000,+00.000,Air
2026-09-14 15:48:02,+014.68,+024.99,+00.000,+00.000,Air
2026-09-14 15:48:04,+014.68,+025.02,+00.000,+00.000,Air
2026-09-14 15:48:06,+014.68,+024.97,+00.010,+00.010,Air
2026-09-14 15:48:08,+014.68,+025.00,+00.015,+00.015,Air
2026-09-14 15:48:10,+014.68,+025.02,+00.011,+00.011,Air
2026-09-14 15:48:12,+014.68,+025.03,+00.000,+00.000,Air
2026-09-14 15:48:14,+014.68,+025.00,+00.000,+00.000,Air
2026-09-14 15:48:16,+014.68,+025.02,+00.000,+00.000,Air
2026-09-14 15:48:18,+014.68,+024.98,+00.006,+00.006,Air
2026-09-14 15:48:20,+014.68,+024.98,+00.028,+00.028,Air
2026-09-14 15:48:22,+014.68,+024.98,+00.005,+00.005,Air
2026-09-14 15:48:24,+014.68,+025.03,+00.004,+00.004,Air
2026-09-14 15:48:26,+014.68,+024.98,+00.004,+00.004,Air
2026-09-14 15:48:28,+014.68,+025.01,+00.013,+00.013,Air
2026-09-14 15:48:30,+014.68,+025.00,+00.000,+00.000,Air
2026-09-14 15:48:32,+014.68,+025.00,+00.000,+00.000,Air
2026-09-14 15:48:34,+014.68,+024.99,+00.000,+00.000,Air
2026-09-14 15:48:36,+014.68,+024.99,+00.011,+00.011,Air
2026-09-14 15:48:38,+014.68,+025.00,+00.018,+00.018,Air
2026-09-14 15:48:40,+014.68,+025.00,+00.020,+00.020,Air
2026-09-14 15:48:42,+014.68,+024.98,+00.000,+00.000,Air
2026-09-14 15:48:44,+014.68,+025.03,+00.000,+00.000,Air
2026-09-14 15:48:46,+014.68,+024.95,+00.007,+00.007,Air
2026-09-14 15:48:48,+014.68,+024.99,+00.000,+00.000,Air
2026-09-14 15:48:50,+014.68,+025.02,+00.000,+00.000,Air
2026-09-14 15:48:52,+014.68,+025.00,+00.000,+00.000,Air
2026-09-14 15:48:54,+014.68,+025.00,+00.002,+00.002,Air
2026-09-14 15:48:56,+014.68,+025.02,+00.003,+00.003,Air
2026-09-14 15:48:58,+014.68,+024.99,+00.025,+00.025,Air
2026-09-14 15:49:00,+014.68,+024.98,+00.008,+00.008,Air
2026-09-14 15:49:02,+014.68,+025.00,+00.009,+00.009,Air
2026-09-14 15:49:04,+014.68,+024.99,+00.000,+00.000,Air
2026-09-14 15:49:06,+014.68,+025.03,+00.017,+00.017,Air
2026-09-14 15:49:08,+014.68,+024.99,+00.000,+00.000,Air
2026-09-14 15:49:10,+014.68,+024.99,+00.023,+00.023,Air
2026-09-14 15:49:12,+014.68,+025.01,+00.010,+00.010,Air
2026-09-14 15:49:14,+014.68,+025.01,+00.000,+00.000,Air
2026-09-14 15:49:16,+014.68,+024.99,+00.017,+00.017,Air
2026-09-14 15:49:18,+014.68,+024.98,+00.012,+00.012,Air
2026-09-14 15:49:20,+014.68,+024.99,+00.009,+00.009,Air
2026-09-14 15:49:22,+014.68,+025.01,+00.012,+00.012,Air
2026-09-14 15:49:24,+014.68,+024.99,+00.028,+00.028,Air
2026-09-14 15:49:26,+014.68,+025.00,+00.017,+00.017,Air
2026-09-14 15:49:28,+014.68,+024.97,+00.011,+00.011,Air
2026-09-14 15:49:30,+014.68,+025.02,+00.010,+00.010,Air
2026-09-14 15:49:32,+014.68,+025.03,+00.020,+00.020,Air
2026-09-14 15:49:34,+014.68,+024.98,+00.011,+00.011,Air
2026-09-14 15:49:36,+014.68,+025.03,+00.000,+00.000,Air
2026-09-14 15:49:38,+014.68,+024.99,+00.000,+00.000,Air
2026-09-14 15:49:40,+014.68,+025.04,+00.023,+00.023,Air
2026-09-14 15:49:42,+014.68,+025.05,+00.000,+00.000,Air
2026-09-14 15:49:44,+014.68,+025.03,+00.009,+00.009,Air
2026-09-14 15:49:46,+014.68,+025.03,+00.002,+00.002,Air
2026-09-14 15:49:48,+014.68,+025.01,+00.005,+00.005,Air
2026-09-14 15:49:50,+014.68,+025.01,+00.019,+00.019,Air
2026-09-14 15:49:52,+014.68,+025.01,+00.000,+00.000,Air
2026-09-14 15:49:54,+014.68,+025.01,+00.000,+00.000,Air
2026-09-14 15:49:56,+014.68,+025.01,+00.006,+00.006,Air
2026-09-14 15:49:58,+014.68,+024.99,+00.016,+00.016,Air
2026-09-14 15:50:00,+014.68,+025.01,+00.011,+00.011,Air
2026-09-14 15:50:02,+014.68,+025.01,+00.008,+00.008,Air
2026-09-14 15:50:04,+014.68,+024.99,+00.012,+00.012,Air
2026-09-14 15:50:06,+014.68,+025.02,+00.019,+00.019,Air
2026-09-14 15:50:08,+014.68,+024.99,+00.012,+00.012,Air
2026-09-14 15:50:10,+014.68,+025.00,+00.000,+00.000,Air
2026-09-14 15:50:12,+014.68,+025.03,+00.000,+00.000,Air
2026-09-14 15:50:14,+014.68,+025.04,+00.005,+00.005,Air
2026-09-14 15:50:16,+014.68,+024.99,+00.018,+00.018,Air
2026-09-14 15:50:18,+014.68,+024.99,+00.000,+00.000,Air
2026-09-14 15:50:20,+014.68,+025.03,+00.005,+00.005,Air
