Time,abs_pressure_Torr,temperature_C,volumetric_flow_LPM,mass_flow_SLPM,mass_flow_setpoint_SLPM,gas_type
2026-09-14 14:50:38,+755.93,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:50:40,+755.94,+024.52,+00.010,+00.010,+00.000,Air
2026-09-14 14:50:42,+755.96,+024.48,+00.015,+00.015,+00.000,Air
2026-09-14 14:50:44,+755.89,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:50:46,+755.89,+024.53,+00.005,+00.005,+00.000,Air
2026-09-14 14:50:48,+755.93,+024.51,+00.001,+00.001,+00.000,Air
2026-09-14 14:50:50,+755.91,+024.51,+00.032,+00.032,+00.000,Air
2026-09-14 14:50:52,+755.86,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:50:54,+755.91,+024.55,+00.000,+00.000,+00.000,Air
2026-09-14 14:50:56,+755.96,+024.47,+00.000,+00.000,+00.000,Air
2026-09-14 14:50:58,+755.95,+024.51,+00.009,+00.009,+00.000,Air
2026-09-14 14:51:00,+755.92,+024.46,+00.001,+00.001,+00.000,Air
2026-09-14 14:51:02,+755.88,+024.53,+00.003,+00.003,+00.000,Air
2026-09-14 14:51:04,+755.98,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:06,+755.93,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:08,+755.79,+024.51,+00.002,+00.002,+00.000,Air
2026-09-14 14:51:10,+755.87,+024.48,+00.003,+00.003,+00.000,Air
2026-09-14 14:51:12,+755.94,+024.49,+00.029,+00.029,+00.000,Air
2026-09-14 14:51:14,+755.91,+024.53,+00.003,+00.003,+00.000,Air
2026-09-14 14:51:16,+755.89,+024.48,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:18,+755.94,+024.51,+00.039,+00.039,+00.000,Air
2026-09-14 14:51:20,+755.83,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:22,+755.92,+024.54,+00.002,+00.002,+00.000,Air
2026-09-14 14:51:24,+755.88,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:26,+755.84,+024.52,+00.025,+00.024,+00.000,Air
2026-09-14 14:51:28,+755.89,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:30,+755.93,+024.54,+00.021,+00.021,+00.000,Air
2026-09-14 14:51:32,+755.90,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:34,+755.93,+024.48,+00.006,+00.006,+00.000,Air
2026-09-14 14:51:36,+755.92,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:38,+755.90,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:40,+755.93,+024.51,+00.016,+00.016,+00.000,Air
2026-09-14 14:51:42,+755.97,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:44,+755.86,+024.51,+00.001,+00.001,+00.000,Air
2026-09-14 14:51:46,+755.96,+024.50,+00.020,+00.020,+00.000,Air
2026-09-14 14:51:48,+755.96,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:50,+755.97,+024.50,+00.008,+00.007,+00.000,Air
2026-09-14 14:51:52,+755.90,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:51:54,+755.97,+024.52,+00.018,+00.018,+00.000,Air
2026-09-14 14:51:56,+755.89,+024.51,+00.001,+00.001,+00.000,Air
2026-09-14 14:51:58,+755.92,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:00,+755.93,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:02,+755.95,+024.50,+00.027,+00.027,+00.000,Air
2026-09-14 14:52:04,+755.90,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:06,+755.88,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:08,+755.90,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:10,+755.88,+024.50,+00.006,+00.006,+00.000,Air
2026-09-14 14:52:12,+756.00,+024.51,+00.028,+00.028,+00.000,Air
2026-09-14 14:52:14,+755.93,+024.51,+00.011,+00.010,+00.000,Air
2026-09-14 14:52:16,+755.84,+024.53,+00.009,+00.008,+00.000,Air
2026-09-14 14:52:18,+755.91,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:20,+755.98,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:22,+755.90,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:24,+755.83,+024.47,+00.001,+00.001,+00.000,Air
2026-09-14 14:52:26,+755.89,+024.53,+00.017,+00.017,+00.000,Air
2026-09-14 14:52:28,+755.93,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:30,+755.93,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:32,+755.92,+024.51,+00.019,+00.019,+00.000,Air
2026-09-14 14:52:34,+755.94,+024.54,+00.019,+00.019,+00.000,Air
2026-09-14 14:52:36,+755.97,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:38,+755.89,+024.57,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:40,+755.90,+024.54,+00.002,+00.002,+00.000,Air
2026-09-14 14:52:42,+755.97,+024.52,+00.009,+00.009,+00.000,Air
2026-09-14 14:52:44,+755.98,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:46,+755.99,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:48,+755.83,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:50,+755.87,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:52,+755.89,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:54,+755.91,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:56,+756.00,+024.48,+00.000,+00.000,+00.000,Air
2026-09-14 14:52:58,+755.89,+024.50,+00.005,+00.004,+00.000,Air
2026-09-14 14:53:00,+755.95,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:02,+756.01,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:04,+756.01,+024.54,+00.022,+00.022,+00.000,Air
2026-09-14 14:53:06,+755.97,+024.55,+00.020,+00.020,+00.000,Air
2026-09-14 14:53:08,+755.85,+024.50,+00.011,+00.011,+00.000,Air
2026-09-14 14:53:10,+755.90,+024.48,+00.006,+00.006,+00.000,Air
2026-09-14 14:53:12,+755.95,+024.53,+00.007,+00.007,+00.000,Air
2026-09-14 14:53:14,+755.80,+024.49,+00.016,+00.016,+00.000,Air
2026-09-14 14:53:16,+755.98,+024.48,+00.018,+00.018,+00.000,Air
2026-09-14 14:53:18,+755.89,+024.49,+00.004,+00.004,+00.000,Air
2026-09-14 14:53:20,+755.95,+024.54,+00.002,+00.002,+00.000,Air
2026-09-14 14:53:22,+755.92,+024.56,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:24,+755.96,+024.55,+00.011,+00.011,+00.000,Air
2026-09-14 14:53:26,+755.94,+024.52,+00.007,+00.007,+00.000,Air
2026-09-14 14:53:28,+755.90,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:30,+755.88,+024.54,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:32,+755.93,+024.53,+00.014,+00.014,+00.000,Air
2026-09-14 14:53:34,+755.86,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:36,+756.01,+024.54,+00.018,+00.018,+00.000,Air
2026-09-14 14:53:38,+755.93,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:40,+755.95,+024.48,+00.026,+00.026,+00.000,Air
2026-09-14 14:53:42,+755.87,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:44,+755.85,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:46,+756.02,+024.50,+00.029,+00.029,+00.000,Air
2026-09-14 14:53:48,+755.88,+024.53,+00.005,+00.005,+00.000,Air
2026-09-14 14:53:50,+755.98,+024.53,+00.025,+00.025,+00.000,Air
2026-09-14 14:53:52,+755.94,+024.49,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:54,+755.88,+024.54,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:56,+755.96,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:53:58,+755.91,+024.54,+00.008,+00.008,+00.000,Air
2026-09-14 14:54:00,+755.87,+024.54,+00.021,+00.020,+00.000,Air
2026-09-14 14:54:02,+756.02,+024.49,+00.012,+00.012,+00.000,Air
2026-09-14 14:54:04,+755.92,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:06,+756.02,+024.52,+00.010,+00.010,+00.000,Air
2026-09-14 14:54:08,+756.02,+024.53,+00.010,+00.010,+00.000,Air
2026-09-14 14:54:10,+755.94,+024.52,+00.011,+00.010,+00.000,Air
2026-09-14 14:54:12,+755.91,+024.50,+00.012,+00.012,+00.000,Air
2026-09-14 14:54:14,+755.99,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:16,+756.02,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:18,+755.95,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:20,+755.95,+024.50,+00.019,+00.019,+00.000,Air
2026-09-14 14:54:22,+755.93,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:24,+755.88,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:26,+755.98,+024.55,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:28,+755.94,+024.55,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:30,+755.96,+024.52,+00.022,+00.022,+00.000,Air
2026-09-14 14:54:32,+756.04,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:34,+756.05,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:36,+755.90,+024.55,+00.008,+00.008,+00.000,Air
2026-09-14 14:54:38,+755.98,+024.54,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:40,+755.95,+024.52,+00.003,+00.003,+00.000,Air
2026-09-14 14:54:42,+756.01,+024.54,+00.016,+00.016,+00.000,Air
2026-09-14 14:54:44,+755.98,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:46,+755.90,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:48,+755.99,+024.49,+00.010,+00.010,+00.000,Air
2026-09-14 14:54:50,+755.98,+024.53,+00.026,+00.026,+00.000,Air
2026-09-14 14:54:52,+755.96,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:54:54,+755.97,+024.55,+00.016,+00.016,+00.000,Air
2026-09-14 14:54:56,+755.92,+024.54,+00.019,+00.019,+00.000,Air
2026-09-14 14:54:58,+755.94,+024.57,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:00,+755.93,+024.52,+00.008,+00.008,+00.000,Air
2026-09-14 14:55:02,+755.91,+024.53,+00.009,+00.009,+00.000,Air
2026-09-14 14:55:04,+755.98,+024.51,+00.003,+00.003,+00.000,Air
2026-09-14 14:55:06,+756.01,+024.52,+00.011,+00.011,+00.000,Air
2026-09-14 14:55:08,+756.00,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:10,+756.00,+024.54,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:12,+755.92,+024.48,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:14,+755.99,+024.53,+00.013,+00.013,+00.000,Air
2026-09-14 14:55:16,+755.88,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:18,+755.97,+024.53,+00.004,+00.004,+00.000,Air
2026-09-14 14:55:20,+755.95,+024.55,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:22,+755.97,+024.52,+00.008,+00.008,+00.000,Air
2026-09-14 14:55:24,+755.94,+024.56,+00.031,+00.031,+00.000,Air
2026-09-14 14:55:26,+756.00,+024.53,+00.047,+00.047,+00.000,Air
2026-09-14 14:55:28,+755.99,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:30,+755.94,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:32,+756.02,+024.55,+00.021,+00.021,+00.000,Air
2026-09-14 14:55:34,+755.93,+024.51,+00.007,+00.007,+00.000,Air
2026-09-14 14:55:36,+755.95,+024.56,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:38,+756.03,+024.53,+00.008,+00.008,+00.000,Air
2026-09-14 14:55:40,+755.97,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:42,+755.90,+024.52,+00.005,+00.005,+00.000,Air
2026-09-14 14:55:44,+755.95,+024.58,+00.006,+00.006,+00.000,Air
2026-09-14 14:55:46,+756.01,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:48,+755.99,+024.55,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:50,+755.96,+024.54,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:52,+755.97,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:55:54,+755.95,+024.53,+00.004,+00.004,+00.000,Air
2026-09-14 14:55:56,+755.99,+024.54,+00.010,+00.010,+00.000,Air
2026-09-14 14:55:58,+755.95,+024.56,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:00,+756.01,+024.52,+00.015,+00.015,+00.000,Air
2026-09-14 14:56:02,+755.96,+024.56,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:04,+755.95,+024.56,+00.007,+00.007,+00.000,Air
2026-09-14 14:56:06,+755.99,+024.50,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:08,+755.99,+024.55,+00.008,+00.008,+00.000,Air
2026-09-14 14:56:10,+756.02,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:12,+755.97,+024.56,+00.002,+00.002,+00.000,Air
2026-09-14 14:56:14,+755.97,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:16,+756.03,+024.56,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:18,+755.91,+024.56,+00.004,+00.004,+00.000,Air
2026-09-14 14:56:20,+756.05,+024.53,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:22,+755.96,+024.51,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:24,+755.99,+024.55,+00.009,+00.008,+00.000,Air
2026-09-14 14:56:26,+756.00,+024.55,+00.020,+00.020,+00.000,Air
2026-09-14 14:56:28,+756.05,+024.54,+00.008,+00.008,+00.000,Air
2026-09-14 14:56:30,+756.02,+024.53,+00.018,+00.018,+00.000,Air
2026-09-14 14:56:32,+756.01,+024.57,+00.002,+00.002,+00.000,Air
2026-09-14 14:56:34,+756.01,+024.55,+00.007,+00.007,+00.000,Air
2026-09-14 14:56:36,+756.08,+024.56,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:38,+755.90,+024.54,+00.011,+00.011,+00.000,Air
2026-09-14 14:56:40,+756.01,+024.54,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:42,+756.01,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:44,+755.91,+024.54,+00.001,+00.001,+00.000,Air
2026-09-14 14:56:46,+756.00,+024.52,+00.018,+00.018,+00.000,Air
2026-09-14 14:56:48,+755.98,+024.55,+00.000,+00.000,+00.000,Air
2026-09-14 14:56:50,+755.97,+024.56,+00.026,+00.026,+00.000,Air
2026-09-14 14:56:52,+755.97,+024.54,+00.019,+00.018,+00.000,Air
2026-09-14 14:56:54,+756.04,+024.55,+00.016,+00.016,+00.000,Air
2026-09-14 14:56:56,+755.95,+024.56,+00.012,+00.012,+00.000,Air
2026-09-14 14:56:58,+755.96,+024.52,+00.000,+00.000,+00.000,Air
2026-09-14 14:57:00,+755.96,+024.55,+00.000,+00.000,+00.000,Air
