Time,Gauge 1,Gauge 2,Units
2025-07-15 16:41:15,Off,1700.0,Pascal
2025-07-15 16:41:17,Off,1690.0,Pascal
2025-07-15 16:41:19,Off,1690.0,Pascal
2025-07-15 16:41:22,Off,1700.0,Pascal
2025-07-15 16:41:24,Off,1700.0,Pascal
2025-07-15 16:41:26,Off,1700.0,Pascal
2025-07-15 16:41:28,Off,1700.0,Pascal
2025-07-15 16:41:30,Off,1700.0,Pascal
2025-07-15 16:41:33,Off,1700.0,Pascal
2025-07-15 16:41:35,Off,1690.0,Pascal
2025-07-15 16:41:37,Off,1700.0,Pascal
2025-07-15 16:41:39,Off,1700.0,Pascal
2025-07-15 16:41:42,Off,1700.0,Pascal
2025-07-15 16:41:44,Off,1700.0,Pascal
2025-07-15 16:41:46,Off,1690.0,Pascal
2025-07-15 16:41:48,Off,1700.0,Pascal
2025-07-15 16:41:50,Off,1700.0,Pascal
2025-07-15 16:41:53,Off,1690.0,Pascal
2025-07-15 16:41:55,Off,1700.0,Pascal
2025-07-15 16:41:57,Off,1700.0,Pascal
2025-07-15 16:41:59,Off,1690.0,Pascal
2025-07-15 16:42:02,Off,1700.0,Pascal
2025-07-15 16:42:04,Off,1690.0,Pascal
2025-07-15 16:42:06,Off,1690.0,Pascal
2025-07-15 16:42:08,Off,1700.0,Pascal
2025-07-15 16:42:10,Off,1700.0,Pascal
2025-07-15 16:42:13,Off,1690.0,Pascal
2025-07-15 16:42:15,Off,1700.0,Pascal
2025-07-15 16:42:17,Off,1690.0,Pascal
2025-07-15 16:42:19,Off,1690.0,Pascal
2025-07-15 16:42:22,Off,1700.0,Pascal
2025-07-15 16:42:24,Off,1700.0,Pascal
2025-07-15 16:42:26,Off,1700.0,Pascal
2025-07-15 16:42:28,Off,1700.0,Pascal
2025-07-15 16:42:30,Off,1700.0,Pascal
2025-07-15 16:42:33,Off,1690.0,Pascal
2025-07-15 16:42:35,Off,1700.0,Pascal
2025-07-15 16:42:37,Off,1700.0,Pascal
2025-07-15 16:42:39,Off,1700.0,Pascal
2025-07-15 16:42:42,Off,1700.0,Pascal
2025-07-15 16:42:44,Off,1700.0,Pascal
2025-07-15 16:42:46,Off,1700.0,Pascal
2025-07-15 16:42:48,Off,1690.0,Pascal
2025-07-15 16:42:50,Off,1700.0,Pascal
2025-07-15 16:42:53,Off,1700.0,Pascal
2025-07-15 16:42:55,Off,1690.0,Pascal
2025-07-15 16:42:57,Off,1700.0,Pascal
2025-07-15 16:42:59,Off,1700.0,Pascal
2025-07-15 16:43:02,Off,1700.0,Pascal
2025-07-15 16:43:04,Off,1690.0,Pascal
2025-07-15 16:43:06,Off,1700.0,Pascal
2025-07-15 16:43:08,Off,1700.0,Pascal
2025-07-15 16:43:10,Off,1700.0,Pascal
2025-07-15 16:43:13,Off,1700.0,Pascal
2025-07-15 16:43:15,Off,1700.0,Pascal
2025-07-15 16:43:17,Off,1690.0,Pascal
2025-07-15 16:43:19,Off,1700.0,Pascal
2025-07-15 16:43:21,Off,1700.0,Pascal
2025-07-15 16:43:24,Off,1700.0,Pascal
2025-07-15 16:43:26,Off,1700.0,Pascal
2025-07-15 16:43:28,Off,1700.0,Pascal
2025-07-15 16:43:30,Off,1700.0,Pascal
2025-07-15 16:43:33,Off,1690.0,Pascal
2025-07-15 16:43:35,Off,1690.0,Pascal
2025-07-15 16:43:37,Off,1700.0,Pascal
2025-07-15 16:43:39,Off,1700.0,Pascal
2025-07-15 16:43:41,Off,1700.0,Pascal
2025-07-15 16:43:44,Off,1700.0,Pascal
2025-07-15 16:43:46,Off,1700.0,Pascal
2025-07-15 16:43:48,Off,1700.0,Pascal
2025-07-15 16:43:50,Off,1700.0,Pascal
2025-07-15 16:43:53,Off,1700.0,Pascal
2025-07-15 16:43:55,Off,1690.0,Pascal
2025-07-15 16:43:57,Off,1700.0,Pascal
2025-07-15 16:43:59,Off,1700.0,Pascal
2025-07-15 16:44:01,Off,1700.0,Pascal
2025-07-15 16:44:04,Off,1700.0,Pascal
2025-07-15 16:44:06,Off,1690.0,Pascal
2025-07-15 16:44:08,Off,1700.0,Pascal
2025-07-15 16:44:10,Off,1700.0,Pascal
2025-07-15 16:44:13,Off,1690.0,Pascal
2025-07-15 16:44:15,Off,1700.0,Pascal
2025-07-15 16:44:17,Off,1700.0,Pascal
2025-07-15 16:44:19,Off,1690.0,Pascal
2025-07-15 16:44:21,Off,1700.0,Pascal
2025-07-15 16:44:24,Off,1700.0,Pascal
2025-07-15 16:44:26,Off,1700.0,Pascal
2025-07-15 16:44:28,Off,1700.0,Pascal
2025-07-15 16:44:30,Off,1700.0,Pascal
2025-07-15 16:44:33,Off,1700.0,Pascal
2025-07-15 16:44:35,Off,1700.0,Pascal
2025-07-15 16:44:37,Off,1690.0,Pascal
2025-07-15 16:44:39,Off,1700.0,Pascal
2025-07-15 16:44:41,Off,1690.0,Pascal
2025-07-15 16:44:44,Off,1700.0,Pascal
2025-07-15 16:44:46,Off,1700.0,Pascal
2025-07-15 16:44:48,Off,1700.0,Pascal
2025-07-15 16:44:50,Off,1700.0,Pascal
2025-07-15 16:44:53,Off,1700.0,Pascal
2025-07-15 16:44:55,Off,1700.0,Pascal
2025-07-15 16:44:57,Off,1700.0,Pascal
2025-07-15 16:44:59,Off,1700.0,Pascal
2025-07-15 16:45:01,Off,1700.0,Pascal
2025-07-15 16:45:04,Off,1700.0,Pascal
2025-07-15 16:45:06,Off,1700.0,Pascal
2025-07-15 16:45:08,Off,1700.0,Pascal
2025-07-15 16:45:10,Off,1700.0,Pascal
2025-07-15 16:45:13,Off,1700.0,Pascal
2025-07-15 16:45:15,Off,1700.0,Pascal
2025-07-15 16:45:17,Off,1700.0,Pascal
2025-07-15 16:45:19,Off,1700.0,Pascal
2025-07-15 16:45:21,Off,1700.0,Pascal
2025-07-15 16:45:24,Off,1700.0,Pascal
2025-07-15 16:45:26,Off,1700.0,Pascal
2025-07-15 16:45:28,Off,1700.0,Pascal
2025-07-15 16:45:30,Off,1700.0,Pascal
2025-07-15 16:45:33,Off,1700.0,Pascal
2025-07-15 16:45:35,Off,1690.0,Pascal
2025-07-15 16:45:37,Off,1690.0,Pascal
2025-07-15 16:45:39,Off,1690.0,Pascal
2025-07-15 16:45:41,Off,1700.0,Pascal
2025-07-15 16:45:44,Off,1700.0,Pascal
2025-07-15 16:45:46,Off,1700.0,Pascal
