Time,Gauge 1,Gauge 2,Units
2025-07-23 16:46:16,4.819,-10.0,Pascal
2025-07-23 16:46:18,4.819,-10.0,Pascal
2025-07-23 16:46:20,4.818,-20.0,Pascal
2025-07-23 16:46:22,4.817,-20.0,Pascal
2025-07-23 16:46:24,4.817,-10.0,Pascal
2025-07-23 16:46:27,4.816,-10.0,Pascal
2025-07-23 16:46:31,Off,Off,Off
2025-07-23 16:46:33,4.814,-10.0,Pascal
2025-07-23 16:46:35,4.814,-10.0,Pascal
2025-07-23 16:46:38,4.813,-10.0,Off
2025-07-23 16:46:41,4.813,0.0,Pascal
2025-07-23 16:46:45,Off,Off,Off
2025-07-23 16:46:49,Off,Off,Off
2025-07-23 16:46:51,4.809,-10.0,Pascal
2025-07-23 16:46:53,4.808,-20.0,Pascal
2025-07-23 16:46:55,4.808,-10.0,Pascal
2025-07-23 16:46:57,4.807,-10.0,Pascal
2025-07-23 16:47:00,4.807,-10.0,Pascal
2025-07-23 16:47:02,4.806,-10.0,Pascal
2025-07-23 16:47:04,4.805,-10.0,Pascal
2025-07-23 16:47:06,4.804,-10.0,Pascal
2025-07-23 16:47:09,4.804,-20.0,Pascal
2025-07-23 16:47:11,4.804,-10.0,Pascal
2025-07-23 16:47:13,4.802,-20.0,Pascal
2025-07-23 16:47:15,4.802,-10.0,Pascal
2025-07-23 16:47:17,4.801,-10.0,Pascal
2025-07-23 16:47:20,4.801,-10.0,Pascal
2025-07-23 16:47:22,4.8,-10.0,Pascal
2025-07-23 16:47:24,4.8,-20.0,Pascal
2025-07-23 16:47:26,4.799,-20.0,Pascal
2025-07-23 16:47:28,4.799,-10.0,Pascal
2025-07-23 16:47:31,4.798,-10.0,Pascal
2025-07-23 16:47:33,4.797,-20.0,Pascal
2025-07-23 16:47:35,4.796,-10.0,Pascal
2025-07-23 16:47:37,4.796,-10.0,Pascal
2025-07-23 16:47:39,4.795,-10.0,Pascal
2025-07-23 16:47:42,4.794,-20.0,Pascal
2025-07-23 16:47:44,4.794,-20.0,Pascal
2025-07-23 16:47:46,4.793,-10.0,Pascal
2025-07-23 16:47:48,4.793,-20.0,Pascal
2025-07-23 16:47:50,4.793,-10.0,Pascal
2025-07-23 16:47:53,4.791,-10.0,Pascal
2025-07-23 16:47:55,4.79,-10.0,Pascal
2025-07-23 16:47:57,4.791,-10.0,Pascal
2025-07-23 16:47:59,4.79,-10.0,Pascal
2025-07-23 16:48:02,4.789,-10.0,Pascal
2025-07-23 16:48:04,4.789,-10.0,Pascal
2025-07-23 16:48:06,4.788,-10.0,Pascal
2025-07-23 16:48:08,4.787,-10.0,Pascal
2025-07-23 16:48:10,4.787,-10.0,Pascal
2025-07-23 16:48:13,4.787,-10.0,Pascal
2025-07-23 16:48:15,4.785,-10.0,Pascal
2025-07-23 16:48:17,4.785,-10.0,Pascal
2025-07-23 16:48:19,4.784,-10.0,Pascal
2025-07-23 16:48:21,4.784,-20.0,Pascal
2025-07-23 16:48:24,4.782,-10.0,Pascal
2025-07-23 16:48:26,4.782,-10.0,Pascal
2025-07-23 16:48:28,4.782,-10.0,Pascal
2025-07-23 16:48:30,4.782,-10.0,Pascal
2025-07-23 16:48:32,4.781,-10.0,Pascal
2025-07-23 16:48:35,4.78,-10.0,Pascal
2025-07-23 16:48:37,4.779,-10.0,Pascal
2025-07-23 16:48:39,4.779,-10.0,Pascal
2025-07-23 16:48:41,4.778,-10.0,Pascal
2025-07-23 16:48:44,4.778,-10.0,Pascal
2025-07-23 16:48:46,4.777,-20.0,Pascal
2025-07-23 16:48:48,4.777,-10.0,Pascal
2025-07-23 16:48:50,4.776,-20.0,Pascal
2025-07-23 16:48:52,4.776,-10.0,Pascal
2025-07-23 16:48:55,4.774,-10.0,Pascal
2025-07-23 16:48:57,4.774,-10.0,Pascal
2025-07-23 16:48:59,4.773,-10.0,Pascal
2025-07-23 16:49:01,4.773,-20.0,Pascal
2025-07-23 16:49:03,4.772,-20.0,Pascal
2025-07-23 16:49:06,4.772,-20.0,Pascal
2025-07-23 16:49:08,4.77,-20.0,Pascal
2025-07-23 16:49:10,4.77,-10.0,Pascal
