Time,Gauge 1,Gauge 2,Units
2025-07-15 16:41:15,Off,1700.0,Pascal
2025-07-15 16:41:17,Off,1690.0,Pascal
2025-07-15 16:41:19,Off,1690.0,Pascal
2025-07-15 16:41:22,Off,1700.0,Pascal
2025-07-15 16:41:24,Off,1700.0,Pascal
2025-07-15 16:41:26,Off,1700.0,Pascal
2025-07-15 16:41:28,Off,1700.0,Pascal
2025-07-15 16:41:30,Off,1700.0,Pascal
2025-07-15 16:41:33,Off,1700.0,Pascal
2025-07-15 16:41:35,Off,1690.0,Pascal
2025-07-15 16:41:37,Off,1700.0,Pascal
2025-07-15 16:41:39,Off,1700.0,Pascal
2025-07-15 16:41:42,Off,1700.0,Pascal
2025-07-15 16:41:44,Off,1700.0,Pascal
2025-07-15 16:41:46,Off,1690.0,Pascal
2025-07-15 16:41:48,Off,1700.0,Pascal
2025-07-15 16:41:50,Off,1700.0,Pascal
2025-07-15 16:41:53,Off,1690.0,Pascal
2025-07-15 16:41:55,Off,1700.0,Pascal
2025-07-15 16:41:57,Off,1700.0,Pascal
